Date,Open,High,Low,Ltp,% Change,Qty,Turnover
2023-09-07,958.0,958.0,944.0,945.0,-0.63,8180.0,7742683.6
2023-09-05,958.0,959.9,950.0,951.0,-0.73,5837.0,5561731.3
2023-09-04,959.0,965.0,942.0,958.0,0.95,6912.0,6568353.2
2023-09-03,953.0,959.0,947.0,949.0,-0.42,9829.0,9354692.9
2023-08-30,950.0,959.0,949.0,953.0,0.0,7704.0,7338383.2
2023-08-29,957.0,966.0,953.0,953.0,-0.52,4104.0,3922225.1
2023-08-28,957.1,970.0,954.1,958.0,0.09,4414.0,4232453.3
2023-08-27,970.0,970.0,957.0,957.1,-1.02,7847.0,7553981.9
2023-08-24,969.0,980.0,967.0,967.0,-0.92,9727.0,9494066.7
2023-08-23,980.0,981.0,975.0,976.0,0.83,10176.0,9956593.3
2023-08-22,960.0,975.0,958.0,968.0,0.41,8289.0,8010183.3
2023-08-21,960.5,980.0,960.5,964.0,-0.92,10429.0,10110011.4
2023-08-20,981.0,981.0,965.1,973.0,-0.71,11502.0,11217903.4
2023-08-17,975.0,982.4,974.0,980.0,0.41,9000.0,8808760.0
2023-08-16,990.0,990.0,970.0,976.0,-0.91,12203.0,11914128.9
2023-08-15,985.0,999.0,979.0,985.0,0.41,19500.0,19241512.6
2023-08-14,981.0,1005.0,976.0,981.0,1.98,32197.0,31738373.4
2023-08-13,956.0,964.0,955.2,962.0,0.72,7262.0,6980538.7
2023-08-10,948.0,963.0,945.0,955.1,0.54,6916.0,6603406.7
2023-08-09,926.0,955.0,926.0,950.0,1.05,5639.0,5327526.0
2023-08-08,955.0,967.0,940.0,940.1,-1.04,8179.0,7735047.0
2023-08-07,949.0,967.0,934.0,950.0,0.11,10844.0,10317419.4
2023-08-06,965.0,977.9,947.5,949.0,-1.15,9833.0,9406390.6
2023-08-03,964.0,965.0,952.0,960.0,0.52,7731.0,7420183.0
2023-08-02,950.0,955.0,940.0,955.0,0.54,6527.0,6188433.5
2023-08-01,972.0,972.0,946.5,949.9,-0.33,11426.0,10908434.3
2023-07-31,969.1,969.1,950.0,953.0,0.31,8984.0,8606452.1
2023-07-30,989.7,989.7,950.0,950.1,-2.1,15348.0,14704275.0
2023-07-27,987.0,1003.0,970.1,970.5,-1.55,14170.0,13930074.0
2023-07-26,984.0,1000.0,980.0,985.8,0.19,7065.0,6966156.2
2023-07-25,1000.1,1000.1,970.2,983.9,-1.31,21210.0,20841736.2
2023-07-24,1005.0,1025.0,996.1,997.0,-1.38,20174.0,20317507.5
2023-07-23,1002.0,1021.0,1002.0,1011.0,1.0,19753.0,19989330.4
2023-07-20,1010.0,1012.9,998.0,1001.0,-0.3,13129.0,13154216.0
2023-07-19,1010.0,1013.0,1000.0,1004.0,-0.4,13457.0,13541744.4
2023-07-18,1016.0,1020.0,1000.0,1008.0,0.2,13414.0,13590583.8
2023-07-17,999.0,1012.0,981.0,1006.0,0.6,16925.0,16984141.8
2023-07-16,998.0,1000.0,980.0,1000.0,2.04,14273.0,14111750.4
2023-07-13,1000.0,1000.0,975.0,980.0,-0.51,17830.0,17589442.0
2023-07-12,961.0,985.0,960.0,985.0,2.5,20453.0,19990764.9
2023-07-11,958.0,969.0,944.0,961.0,0.63,14017.0,13429626.4
2023-07-10,950.0,970.0,950.0,955.0,1.7,27797.0,26666259.1
2023-07-09,950.6,955.0,929.8,939.0,0.75,36237.0,33983308.4
2023-07-06,937.0,937.0,917.0,932.0,0.53,14840.0,13708514.1
2023-07-05,955.2,958.0,924.0,927.1,-1.48,15290.0,14315646.4
2023-07-04,930.0,966.9,924.0,941.0,1.73,19466.0,18192790.6
2023-07-03,960.0,970.0,922.0,925.0,-3.65,23968.0,22882364.8
2023-07-02,1013.0,1013.0,960.0,960.0,-3.71,38615.0,37742012.8
2023-06-28,1052.0,1052.5,990.0,997.0,-3.38,29285.0,29510419.0
2023-06-27,970.0,1040.0,970.0,1031.9,7.49,71007.0,72146646.0
2023-06-26,910.0,962.2,910.0,960.0,4.92,44872.0,42392504.6
2023-06-25,909.9,916.0,899.1,915.0,1.67,25474.0,23103463.2
2023-06-22,915.0,915.0,895.1,900.0,-0.11,13203.0,11913032.7
2023-06-21,911.0,929.0,900.0,901.0,-1.1,17094.0,15468418.4
2023-06-20,924.0,938.6,910.0,911.0,-1.51,13379.0,12321808.7
2023-06-19,925.0,937.0,916.0,925.0,-0.43,12780.0,11786961.5
2023-06-18,919.0,933.0,916.0,929.0,1.2,17841.0,16496738.7
2023-06-15,920.0,921.9,906.0,918.0,-0.22,13309.0,12183940.1
2023-06-14,921.0,930.0,912.0,920.0,1.1,25491.0,23554890.3
